doc_id,title,text
0100.a2,We shouldn't exploit animals.,Today most of us accept science
0100.a2,We shouldn't exploit animals.," Science of today, especially Darwins Evolutionary Theory teaches us that the human race has developed from animals and that humanbeings basically are animals among other animals"
0100.a2,We shouldn't exploit animals.," Eventhough we do agree with this aspect of science we tend to consider man as the crown of creation with a natural right to treat animals as we please and use them for our own purposes as food, tools and experimentinstruments"
0100.a2,We shouldn't exploit animals., I belive this is wrong and in this essay I will explain why we morally have no right to exploit animals
0100.a2,We shouldn't exploit animals., I am also going to show how meaningless many of the experiments made on animals are
0100.a2,We shouldn't exploit animals., To begin with I would like to say that the line we draw today in order to distinguish ourselves from animals is strictly arbitrary
0100.a2,We shouldn't exploit animals., There isn't any quality that includes all humanity that empower us a narural position as superiour to animals
0100.a2,We shouldn't exploit animals.," Most humanbeings have unique capacities though, such as language and higher mental abilities but it's important to emphasize that these abilities don't include all humanity, for example they don't include seniles, mentally handicaped or newborns"
0100.a2,We shouldn't exploit animals., In fact there are some fullgrown vertebrates that have higher mental abilities than seniles
0100.a2,We shouldn't exploit animals.," The concept ""animals"" is very wide and include a variety of different creatures from chimpanzees to oysters"
0100.a2,We shouldn't exploit animals., We are often very conscious about making a distinction between humans and chimpanzees but scientifically it's proved that humans are more psycologically related to chimpanzees than chimpanzees are to oysters
0100.a2,We shouldn't exploit animals., Personally I think it would be more logical to draw the line between creatures that have consciousness and those who haven't
0100.a2,We shouldn't exploit animals.," The animals with consciousness have feelings and goals for their existence, they can feel pain and know if a thing goes good or bad"
0100.a2,We shouldn't exploit animals., All these animals should have the same right as humans to exist for their own sake as individuals and not being valued just for how useful they are to humans
0100.a2,We shouldn't exploit animals.," For example, just as we wouldn't do experiments on or eat mentally retarded we shouldnt do it to animals since intelectual abilities seem to be the things we base the world hierarcy upon"
0100.a2,We shouldn't exploit animals.," There are laws that prevent ordinary people from beating their dogs to death, but a scientist can do the exact same thing without being punished"
0100.a2,We shouldn't exploit animals., The difference is that the scientist is supposed to promote science
0100.a2,We shouldn't exploit animals.," It's hard to understand how people can spent their workinghours putting monkeys in lifelong depressions, heating up dogs until they die or make cats drug addicts"
0100.a2,We shouldn't exploit animals., It's even harder to understand that the taxpayers allow this to happen
0100.a2,We shouldn't exploit animals., I think that one explanation is that people in general have a huge faith in science and that they have no idea what's going on in the labratories
0100.a2,We shouldn't exploit animals., A lot of people think that cruel experiments are justified because they are necessary in order to come up with new medicines and cures to save human lives
0100.a2,We shouldn't exploit animals., This attitude has very little to do with reality
0100.a2,We shouldn't exploit animals., The truth is that most of the time these experiments are trivial and meaningless
0100.a2,We shouldn't exploit animals., There are of course some experiments that have led to new knowledge in medicine but in proportion they are very few
0100.a2,We shouldn't exploit animals.," Most of the painful experiments are not made in order to save lives, they are made in order to make new products for the luxery industry, the industry or the cemical weapon industry"
0100.a2,We shouldn't exploit animals., These are things that we don't really need for our survival
0100.a2,We shouldn't exploit animals., There is always a risk translating one species_ reaction to another
0100.a2,We shouldn't exploit animals., One example of what can happen is the case of Neurosedyn
0100.a2,We shouldn't exploit animals., Scientists tested Neurosedyn on a lot of animals before it was released on the market
0100.a2,We shouldn't exploit animals., On the animals it didn't cause any deformity on the foetus but on humans it did
0100.a2,We shouldn't exploit animals., I think that in the high technology era of today there must be rather easy to come up with some alternatives to experimenting on animals
0100.a2,We shouldn't exploit animals., In this essay I have emphasized that human beings have no natural right to exploit animals the way we do today
0100.a2,We shouldn't exploit animals.," The way we act towards animals, especially the ones with consciousness, is very discriminating since we can't distinguish ourselves from them in a clear way"
0100.a2,We shouldn't exploit animals.," I also think that we have to stop the cruel experiments on animals that are performed today and find other alternatives because they are painful and cause alot of unnessecary suffering, they might also be dangerous to humans"
0100.a2,We shouldn't exploit animals.,
0101.a2,Speed limits- life saver or nuisance?,"How can we avoid traffic accidents? Unfortunately, we can not, but we can reduce the number of people getting injured and even killed without too much of an effort"
0101.a2,Speed limits- life saver or nuisance?, It would not take much from the driver; a couple of kilometres per hour slower and a tragedy is prevented
0101.a2,Speed limits- life saver or nuisance?," In my opinion, speed limits are most definitely a life saver and I will in this essay argue for them to be more carefully looked after"
0101.a2,Speed limits- life saver or nuisance?," There has been some debate on this topic lately and politicians, for example, have argued that speed limits should be lower in winter time"
0101.a2,Speed limits- life saver or nuisance?," Our neighbour in the east, Finland, already practises this principle"
0101.a2,Speed limits- life saver or nuisance?, Speed limits on certain roads are lowered and the result is that fewer people get killed or injured
0101.a2,Speed limits- life saver or nuisance?, This is something that we here in Sweden must take after
0101.a2,Speed limits- life saver or nuisance?, Every year in the winter the amount of traffic accidents increase due to bad weather
0101.a2,Speed limits- life saver or nuisance?, The roads may seem dry and safe when they are in fact covered with a thin layer of ice
0101.a2,Speed limits- life saver or nuisance?," The weather factor and the false feeling of security, almost of immortality, in our new cars are two of the dangers when driving"
0101.a2,Speed limits- life saver or nuisance?," Of course, speed limits can not be reduced everywhere just because of the fact that it is winter or that we feel safe in our cars"
0101.a2,Speed limits- life saver or nuisance?," But, for example, on roads that are known for being dangerous the speed limit could be changed from 110 kilometres per hour to 90, or from 90 km/h to 70"
0101.a2,Speed limits- life saver or nuisance?, This procedure would certainly save many lives
0101.a2,Speed limits- life saver or nuisance?, Another good reason for lowering the speed limits is for the sake of the environment
0101.a2,Speed limits- life saver or nuisance?, Cars impose a great threat to nature with their fumes and until more environment-friendly cars are built a slower speed will reduce the damages on nature
0101.a2,Speed limits- life saver or nuisance?," This fact might sound a bit strange, but it is true that the faster cars go, the more exhaust fumes are spread"
0101.a2,Speed limits- life saver or nuisance?, My third argument on this topic is that people who drive too fast should be more often punished
0101.a2,Speed limits- life saver or nuisance?," Every time I go by car on the motorway to Stockholm, I notice that nearly half of all drivers are speeding; some of them go as fast as 140 km/h"
0101.a2,Speed limits- life saver or nuisance?," That is not acceptable! It is irresponsible because on a motorway, you are not alone and an accident in 140 km/h is a disaster"
0101.a2,Speed limits- life saver or nuisance?," As I mentioned earlier on, there has been quite some debate about speed limits lately and one terrifying fact that came up was that if the driver is driving two km/h too fast, the risk of getting killed increases with 20 per cent"
0101.a2,Speed limits- life saver or nuisance?," Thus, the margins are very small"
0101.a2,Speed limits- life saver or nuisance?," So what can we do? We can obviously drive slower, but what if we do not? Should punishments (fines, jail) be tougher? One could hardly argue for that speeding offences should lead to prison, that is taking it a bit too far"
0101.a2,Speed limits- life saver or nuisance?, Fines however are in my opinion a very good punishment
0101.a2,Speed limits- life saver or nuisance?, People love money and may think twice before speeding again after a fine of a couple of thousand crowns
0101.a2,Speed limits- life saver or nuisance?, The problem today with fines is that not very many people are stopped by the police and forced to pay
0101.a2,Speed limits- life saver or nuisance?, There is simply no money to provide for enough policemen to keep after the drivers
0101.a2,Speed limits- life saver or nuisance?, The question is whether the government should put more money into the police force or not
0101.a2,Speed limits- life saver or nuisance?," More money would not just make the roads safer but also, obviously, reduce all crimes"
0101.a2,Speed limits- life saver or nuisance?, That is however a totally different story
0101.a2,Speed limits- life saver or nuisance?, One solution to the speeding problem could be to have camera supervision to register cars that go too fast
0101.a2,Speed limits- life saver or nuisance?," This way, the need for policemen in the traffic is not so urgent"
0101.a2,Speed limits- life saver or nuisance?," After treating this subject, I see that this is a huge problem and that it can not be easily solved"
0101.a2,Speed limits- life saver or nuisance?, People like driving and people like driving fast
0101.a2,Speed limits- life saver or nuisance?," The motorways are big and the cars feel safe so there should not be a problem, many seem to think"
0101.a2,Speed limits- life saver or nuisance?," But what if suddenly, a rabbit jumps out in front of the car?"
0102.a2,Internet-The Garden of Eden or Hades?,"I've chosen a rather complex topic, the Internet, for this essay"
0102.a2,Internet-The Garden of Eden or Hades?, It is a topic that is disscussed all over the world
0102.a2,Internet-The Garden of Eden or Hades?, There is a ongoing debate about if it is good or bad
0102.a2,Internet-The Garden of Eden or Hades?," I'm going to argue, as it says in the title, that the Internet is the garden of Eden and not the Hades"
0102.a2,Internet-The Garden of Eden or Hades?, I'm very aware of the arguments against it
0102.a2,Internet-The Garden of Eden or Hades?," Everyone of the arguments for the Internet, that I'm going to present, have ""dark"" sides as well"
0102.a2,Internet-The Garden of Eden or Hades?, I know that there are a lot of arguments for the Internet but I'm only going to use the arguments that I think are the most important
0102.a2,Internet-The Garden of Eden or Hades?, The most obvious argument for the Internet is the information
0102.a2,Internet-The Garden of Eden or Hades?, It is an enormous bank of information and it's not just one kind of information that you can find there
0102.a2,Internet-The Garden of Eden or Hades?," There are webpages with information about cooking, music, how to travel in Tibet, how to improve your cleaning of the bathroom and the list can go on for many, many pages"
0102.a2,Internet-The Garden of Eden or Hades?, A wide range of information have become available for a rather large part of the world's population(for the population of the industrialized countries anyway)
0102.a2,Internet-The Garden of Eden or Hades?, I think that is good for I belive that people can't have too much information and it is the individual that should decide which information he or she wants to take part of and not the government
0102.a2,Internet-The Garden of Eden or Hades?, The only time the government should act are in the extreme cases like childpornography and other crimes
0102.a2,Internet-The Garden of Eden or Hades?, The Internet has made it really easy to look for and find information
0102.a2,Internet-The Garden of Eden or Hades?, You only(?) have to have access to a computer and a modem and then you can surf the Net
0102.a2,Internet-The Garden of Eden or Hades?, It is much easier than having to go to the library which maybe is located a couple of mils from your home
0102.a2,Internet-The Garden of Eden or Hades?," The Internet makes it possible for people to find information that they would have a hard time to find anywhere else, especially nowadays when for example many musicians release music over the Net which can't be found anywhere else and if you are a music freak like me then you just got to have access to Internet"
0102.a2,Internet-The Garden of Eden or Hades?, There is a really social side to the Internet as well even if it seems like a contradiction in terms
0102.a2,Internet-The Garden of Eden or Hades?, Many people is using the Net to talk with other people from all over the world
